AZUL4
IFCM3
B3SA3
HAPV3
BBDC4
LREN3
PETR4
COGN3
AMER3
ITUB4
ITSA4
ASAI3
MGLU3
VALE3
ABEV3
CVCB3
PETZ3
BBAS3
RAIZ4
GGBR4
CPLE6
CRFB3
MRVE3
CMIN3
ENEV3
RAIL3
CMIG4
PCAR3
GOLL4
VBBR3
USIM5
CSAN3
POMO4
NTCO3
PETR3
TIMS3
VAMO3
RENT3
GOAU4
JHSF3
EQTL3
CYRE3
WEGE3
LWSA3
CPLE3
BRFS3
CSNA3
CCRO3
STBP3
ELET3
PRIO3
BEEF3
BBSE3
RRRP3
YDUQ3
RDOR3
EMBR3
CXSE3
ANIM3
RADL3
TRPL4
UGPA3
BBDC3
GFSA3
JBSS3
SIMH3
SUZB3
MOVI3
BHIA3
SRNA3
ALOS3
CLSA3
AURE3
BPAN4
AZZA3
SBSP3
QUAL3
HYPE3
MRFG3
DXCO3
FLRY3
MULT3
VIVA3
GMAT3
ALPA4
CBAV3
GGPS3
AZEV4
MLAS3
POSI3
OIBR3
BRAP4
RECV3
SLCE3
VIVT3
VVEO3
SMTO3
BRKM5
SMFT3
RAPT4
ECOR3
AESB3
HBSA3
RANI3
TEND3
ENJU3
DIRR3
CEAB3
ONCO3
LJQQ3
MELK3
EZTC3
RCSL3
TOTS3
SOJA3
BRSR6
PORT3
PSSA3
PDGR3
LIGT3
CPFE3
ELET6
CURY3
TTEN3
PGMN3
GUAR3
IRBR3
ARML3
MDIA3
GRND3
EGIE3
DASA3
LAVV3
MILS3
ODPV3
CASH3
MTRE3
KLBN4
SBFG3
NEOE3
CSMG3
OPCT3
MYPK3
SAPR4
EVEN3
MATD3
KEPL3
ORVR3
ABCB4
AMBP3
JFEN3
PLPL3
ZAMP3
FESA4
JALL3
MBLY3
ROMI3
HBOR3
SEQL3
NGRD3
INTB3
SEER3
BMGB4
SYNE3
TRIS3
VULC3
AGXY3
JSLG3
PNVL3
BLAU3
ITUB3
TUPY3
LAND3
BRIT3
FRAS3
PTBL3
VLID3
WIZC3
AMAR3
TPIS3
AZEV3
MEAL3
LEVE3
AERI3
CSED3
PRNR3
CAML3
HBRE3
ESPA3
AGRO3
MDNE3
ETER3
USIM3
LOGG3
VITT3
UNIP6
SHOW3
TASA4
DOTZ3
BMOB3
FIQE3
TRAD3
PMAM3
KRSA3
ALPK3
RNEW4
DMVF3
SHUL4
KLBN3
WEST3
PINE4
TFCO4
LUPA3
TAEE4
SAPR3
LPSB3
CMIG3
RCSL4
BRAP3
TGMA3
ITSA3
PFRM3
POMO3
DESK3
TCSA3
GGBR3
ELMD3
SANB3
DEXP3
SANB4
TECN3
VTRU3
ALLD3
PDTC3
RPMG3
INEP3
RAPT3
TAEE3
EUCA4
GOAU3
RNEW3
CAMB3
CTSA4
CSUD3
BIOM3
RSID3
VIVR3
BMEB4
INEP4
EQPA3
LVTC3
COCE5
UNIP3
SCAR3
UCAS3
BRKM3
PTNT4
IGTI3
IGTI3
BMEB3
ENGI4
OIBR4
RPAD5
CTKA4
TASA3
BEES3
ATMP3
SNSY5
ENGI3
EALT4
AALR3
BOBR4
HAGA3
BRSR3
NUTR3
LOGN3
MTSA4
FRIO3
AMAR11
ALUP4
VSTE3
CEBR6
RDNI3
HAGA4
OFSA3
ALPA3
CPLE5
FHER3
CGRA4
ATOM3
CSRN3
EUCA3
REDE3
NINJ3
CEBR5
CLSC4
MNDL3
BPAC5
TRPL3
EPAR3
BAHI3
EKTR4
PATI3
TELB4
GEPA4
BPAC3
WHRL4
BEES4
SNSY3
RSUL4
EMAE4
BGIP4
BSLI4
FIEI3
CGAS5
WHRL3
UNIP5
NEXP3
CTSA3
CRPG5
ALUP3
AZEV11
APER3
NORD3
DOHL4
CEBR3
FESA3
PTNT3
CLSC3
PLAS3
BAZA3
PATI4
AHEB5
PINE3
PEAB3
CEEB3
DEXP4
OSXB3
HOOT4
BNBR3
ENMT3
ENMT4
HBTS5
JOPA3
MNPR3
LUXM4
BALM4
PINE11
BAUH4
PEAB4
TEKA4
CRPG6
CEDO4
CSRN5
TELB3
IGTI4
IGTI4
MWET4
EQPA5
PSVM11
MAPT4
DTCY3
BIOM11
AVLL3
MRSA3B
MGEL4
EALT3
WLMM3
AFLT3
MRSA6B
CSRN6
HETA4
ESTR4
GEPA3
BMIN4
BMKS3
WLMM4
EQMA3B
BMIN3
CGRA3
BALM3
CIEL3
BSLI3
AHEB3
TKNO4
LIPR3
CEDO3
BGIP3
BRSR5
MAPT3
MRSA5B
CBEE3
MSPA3
MSPA4
RPAD3
BRKM6
USIM6
CGAS3
AHEB6
MERC4
GSHP3
